TIMESTAMP,POWER,U10,V10,WS10,U100,V100,WS100
20120603 19:00,0.994419683,7.4772754494,2.6725357276,7.9405349543,10.6445704569,4.7597188821,11.6602660368
20120603 20:00,0.9885787714,7.0993982024,2.8349417311,7.6444979858,11.4597362076,5.5822176775,12.747027424
20120603 21:00,0.9850113224,7.9296112672,2.0803082128,8.197952007,11.7661020226,3.991679598,12.4247600708
20120603 22:00,0.9139319219,7.7229887331,2.883859202,8.2438582514,11.1161411291,4.6235701039,12.0393518973
20120603 23:00,0.5446874663,5.6983360945,4.1504955828,7.049655866,7.9896585972,6.5568827545,10.3357319991
20120604 0:00,0.4533086517,2.8260967245,5.9271781273,6.5664498208,3.8192054655,8.8385761023,9.6284348627
20120604 1:00,0.4724578556,1.8728758241,5.9501943539,6.2379865904,2.4000783301,8.1005852365,8.448660081
20120604 2:00,0.5170824198,1.4927676955,6.5756519621,6.7429633041,1.8686770221,8.848104779,9.0432799356
20120604 3:00,0.5550034147,1.4147967974,7.0031374734,7.1446192655,1.7567629931,9.4078949819,9.5705122227
20120604 4:00,0.4842115668,1.7041419273,6.6883953937,6.9020817621,2.1381842757,8.9993075956,9.2498307658
20120604 5:00,0.5124995507,1.7540920339,7.4118324127,7.6165673749,2.247814345,10.1579628865,10.4036954652
20120604 6:00,0.5723194709,2.6513665106,7.336670125,7.8010558834,3.5435808581,10.339746048,10.9301104127
20120604 7:00,0.591594479,2.500907043,6.0823994492,6.5764822738,3.4004527121,9.1054893488,9.7197229862
20120604 8:00,0.6429315984,2.9900525995,4.3355473523,5.2666294148,4.3574318584,7.1534439979,8.3760953572
20120604 9:00,0.6285719421,3.950678431,4.3637332102,5.8864274051,5.5724984594,6.6199868698,8.6531477069
20120604 10:00,0.7416789476,3.5596056448,5.6857841633,6.7081244695,4.5104571634,8.0759510697,9.2501464585
20120604 11:00,0.7437547177,2.3516658707,6.0032106104,6.4473924962,2.9200598392,9.2949175965,9.7428046573
20120604 12:00,0.71256425,3.0168550958,6.6662493625,7.317123426,3.7445693184,10.3584340365,11.0144884162
20120604 13:00,0.7147748104,3.7216389176,6.6541697091,7.6242095164,4.6992645049,10.3711758469,11.3861483977
20120604 14:00,0.6573361849,3.5675245642,7.4883368841,8.294722467,4.4746751269,10.970040935,11.8475531485
20120604 15:00,0.6584324791,2.6720775304,7.3460654109,7.8169479562,3.2565632462,10.9420089521,11.4163375951
20120604 16:00,0.8672675317,1.4367261125,7.2239266934,7.3654123302,1.298448398,10.6599902156,10.7387783123
20120604 17:00,0.960515438,0.0429963076,6.6414189639,6.6415581407,-0.4426902715,10.3193591514,10.3288502735
20120604 18:00,0.9197009453,-0.5308207712,6.2427904024,6.265317446,-1.2154299959,9.8657507017,9.9403373677
20120604 19:00,0.9049908343,-0.7629060228,6.0193168149,6.0674706854,-1.6143616368,9.4945392925,9.6308068131
20120604 20:00,0.9455447324,-0.3249288682,5.6945083574,5.703771051,-0.938309543,9.0035548657,9.052316003
20120604 21:00,0.9553934079,0.3975202352,5.8455040246,5.8590050042,0.1427647511,9.1938325674,9.1949409488
20120604 22:00,0.9731048489,0.3122395653,6.0126058963,6.0207078663,-0.1046642246,9.6661290057,9.6666956378
20120604 23:00,0.9449875993,-0.5119371943,5.8361087387,5.8585190023,-1.2055328368,9.1921336594,9.2708484311
20120605 0:00,0.9280579418,-1.9202865426,6.447473418,6.7273630704,-2.8796753529,9.1275751534,9.5710583699
20120605 1:00,0.8898673664,-1.7214659206,7.0958991146,7.3017278202,-2.4293127938,9.7694761923,10.0669869238
20120605 2:00,0.8718144567,-0.435727059,6.5218807115,6.5364199747,-0.6834129066,8.752312214,8.7789533711
20120605 3:00,0.8179073362,0.2496997081,6.3602955084,6.3651951186,0.2274913824,8.4520991385,8.4551600917
20120605 4:00,0.6506955178,0.5760665651,6.2123929233,6.2390446801,0.6527206223,8.2336152291,8.2594469519
20120605 5:00,0.6506146436,0.6730183776,6.0944617871,6.1315102716,0.7911836971,8.13489287,8.1732767999
20120605 6:00,0.6348262104,0.586212685,6.0638387849,6.092108512,0.6583434883,8.2522268213,8.2784457273
20120605 7:00,0.5969411596,0.5884673783,5.6188279231,5.6495593708,0.6583434883,8.3161535948,8.3421715855
20120605 8:00,0.533886273,0.4238747665,4.5313855682,4.551167431,0.4320231325,8.1017156837,8.1132263007
20120605 9:00,0.7331602027,-0.0856859222,4.1241647942,4.1250548271,-0.4648239916,7.7375758347,7.7515250848
20120605 10:00,0.8227328277,-0.7722400359,3.7221564461,3.8014212187,-1.7594888838,7.230207645,7.4412165485
20120605 11:00,0.8669889652,-1.1110077061,3.317541885,3.498631487,-2.5066272011,6.6419194889,7.0991742071
20120605 12:00,0.8989791884,-1.3252035708,2.9995839047,3.2792785953,-3.1124910106,6.1572088898,6.8991899238
20120605 13:00,0.8922396751,-1.7203385739,2.855590639,3.3337610452,-3.8434635882,5.700820279,6.8754319288
20120605 14:00,0.6677330074,-1.9412985185,2.7370079496,3.355570362,-4.1049268563,5.2500960659,6.6643779302
20120605 15:00,0.6777524172,-1.9779372849,2.6119097278,3.2763254309,-4.1759155394,5.0817825357,6.5774451219
20120605 16:00,0.7368714281,-2.0934903172,2.4666133557,3.2352562734,-4.3670929827,4.842259435,6.5206577548
20120605 17:00,0.7870673232,-2.2338449759,2.2125075927,3.1440822546,-4.6285562509,4.3389372436,6.3442816277
20120605 18:00,0.856789835,-2.3431976015,2.013783855,3.0896440595,-5.0207511531,4.065427757,6.460313072
20120605 19:00,0.7797257467,-2.8341570704,2.1317149911,3.5463580055,-5.5401633981,4.067855356,6.873198504
20120605 20:00,0.8925092556,-3.2952418529,2.1023950954,3.9087957232,-6.0124841406,3.8477530473,7.1382889444
20120605 21:00,0.8486485029,-3.4806903778,1.9753422139,4.0021472197,-6.2978445891,3.6454531311,7.2768245135
20120605 22:00,0.8547859531,-3.6497923763,1.8469862259,4.0905186112,-6.476370584,3.4035024314,7.3162288607
20120605 23:00,0.7456507674,-4.0330902394,1.7218880042,4.3852839336,-6.4897248908,2.9503506193,7.1288917746
20120606 0:00,0.6572463247,-5.2094764754,1.9916310449,5.5772071296,-6.9261998626,2.6792687317,7.4263534438
20120606 1:00,0.7277955501,-4.4998281088,2.8238286389,5.3124816414,-5.9593068311,3.7604510354,7.0465828525
20120606 2:00,0.5951888861,-3.8865174127,2.4488525409,4.5936800461,-5.045447473,3.2146929003,5.9825404843
20120606 3:00,0.3765590741,-3.4761664701,2.4194601151,4.2352710158,-4.4592689059,3.1721386597,5.4724348193
20120606 4:00,0.2918748427,-3.4571112968,2.4426177839,4.2329658818,-4.4147558033,3.1822452918,5.4421276998
20120606 5:00,0.2648269293,-3.4079223609,2.2916475972,4.1067728848,-4.3686337935,2.9870277133,5.2921919638
20120606 6:00,0.2781891377,-3.4225460986,2.1598270211,4.0470575185,-4.4608778132,2.8641523437,5.3012073636
20120606 7:00,0.3035297078,-3.2058488946,1.7986564564,3.6759532346,-4.6469747599,2.663615485,5.3562320592
20120606 8:00,0.4135814672,-2.5371452527,1.3270416253,2.8632403861,-5.2256450929,2.8801101839,5.9667747828
20120606 9:00,0.5985856008,-2.765807333,1.5096309367,3.1509801282,-5.7158255232,3.2918224613,6.5959651703
20120606 10:00,0.7102458574,-3.1571031023,1.6414515127,3.5583230695,-6.3245287928,3.4891677519,7.2231541623
20120606 11:00,0.7088440387,-3.5160493911,1.5817759817,3.8554660648,-6.8956908916,3.2790561891,7.6356245563
20120606 12:00,0.8438589555,-3.7473703328,1.3208068683,3.973325458,-7.3252691462,2.7551071022,7.826249626
20120606 13:00,0.9351299378,-3.9051294425,1.0384614453,4.0408462154,-7.6363245615,2.2109447511,7.9499515408
20120606 14:00,0.9413392761,-3.9396946407,0.7084646655,4.0028884626,-7.7602104252,1.5848654869,7.9203954734
20120606 15:00,0.9284533266,-3.8665759522,0.4176577866,3.8890677059,-7.7092616934,0.9726163508,7.7703731199
20120606 16:00,0.9806441178,-3.8032064222,0.2751490558,3.813146482,-7.6159450688,0.5938836099,7.6390651937
20120606 17:00,0.8145645376,-3.6348118669,0.2542180859,3.6436910055,-7.3971336732,0.4359009918,7.409966009
20120606 18:00,0.5007727975,-3.2745361474,0.3940547781,3.2981610253,-6.946103321,0.605586026,6.9724519203
20120606 19:00,0.5019589519,-3.0972787208,0.6630400075,3.1674528451,-6.6591815155,1.1029387125,6.7499016482
20120606 20:00,0.4422109198,-3.052078077,0.8416212609,3.1659922512,-6.4945366664,1.5502901664,6.6770057744
20120606 21:00,0.6033751483,-3.1194358991,0.7926338846,3.2185631583,-6.4966818761,1.5816739188,6.6864465739
20120606 22:00,0.5296089285,-3.2745361474,0.6710561236,3.3425893109,-6.5975067349,1.3577322279,6.7357651325
20120606 23:00,0.5176395529,-3.8922782791,0.5828788464,3.935680113,-6.403901554,1.0061278153,6.4824569643
20120607 0:00,0.5033338126,-4.0908065969,0.2016679914,4.0957744801,-5.6064198254,0.2821737978,5.6135163054
20120607 1:00,0.6636443694,-3.9084658562,0.9353369286,4.0188257637,-5.0375334616,1.224431426,5.1842044417
20120607 2:00,0.5072337443,-3.5331481192,1.0590220668,3.6884499956,-4.4676396144,1.3532394036,4.6680896101
20120607 3:00,0.3004834478,-3.3468844839,1.2918053981,3.5875335448,-4.1885741576,1.6524173996,4.502736583
20120607 4:00,0.2519948959,-3.4480388926,1.4309891654,3.7331892794,-4.33216307,1.8385878632,4.7061706509
20120607 5:00,0.2407174437,-3.5122196208,1.4601630555,3.8036512476,-4.4493867866,1.9014461562,4.8386506654
20120607 6:00,0.1945293124,-3.4933839723,1.3258416032,3.7365207794,-4.5045508885,1.7753860822,4.8417945483
20120607 7:00,0.2234553035,-3.2185230273,0.9581290303,3.3581098428,-4.5856745678,1.4518204424,4.8100097546
20120607 8:00,0.2916681643,-2.4462614383,0.5083648914,2.4985255426,-5.2289853448,1.3460261568,5.3994512824
20120607 9:00,0.3696218684,-2.5962490098,0.5059337339,2.6450856062,-5.7104543815,1.448729051,5.8913585111
20120607 10:00,0.6682452105,-2.9091300601,0.5609386725,2.962716642,-6.2771032814,1.586467715,6.4744810925
20120607 11:00,0.7306890478,-3.3887414806,0.6952601248,3.4593287591,-6.9281208079,1.7376024087,7.1426969738
20120607 12:00,0.8571582617,-3.8094042974,0.6590966569,3.8660017465,-7.4566415786,1.603642112,7.6271339083
20120607 13:00,0.868902987,-4.1027520825,0.4241860627,4.1246222211,-7.8719948166,1.1203545801,7.9513204424
20120607 14:00,0.8694601201,-4.295991884,0.171345682,4.2994075882,-8.1899996395,0.5752392189,8.2101762621
20120607 15:00,0.8385032889,-4.308548983,0.0637669623,4.3090208359,-8.2224491113,0.2654130968,8.2267316414
20120607 16:00,0.8505265806,-4.2185564401,0.0607280154,4.218993521,-8.1230726041,0.1829759911,8.1251331524
20120607 17:00,0.9501905036,-4.1198436895,0.0014685512,4.1198439513,-7.9867848229,0.0534810377,7.9869638805
20120607 18:00,0.9685129938,-3.8205661632,-0.1146192198,3.8222850983,-7.5811664263,-0.1917693517,7.5835914887
20120607 19:00,0.9118022357,-3.547798068,-0.191504576,3.552962867,-7.2152986326,-0.4548811139,7.2296231704
20120607 20:00,0.6367941483,-3.4403651098,-0.1829955247,3.4452285049,-7.0692760099,-0.5613623754,7.0915295262
20120607 21:00,0.4837532799,-3.4138556786,-0.1295100595,3.4163113807,-7.0469669981,-0.4895733959,7.063952575
20120607 22:00,0.6009668955,-3.3601391995,-0.1237360605,3.3624166982,-6.9337994654,-0.4462939154,6.9481474715
20120607 23:00,0.5021925883,-3.9339288625,-0.3066806629,3.9458648386,-6.4077124051,-0.5551795925,6.4317184832
20120608 0:00,0.5984687826,-4.0608950858,-0.5725885152,4.10106407,-5.5660542323,-0.7918427833,5.6220970029
20120608 1:00,0.6679756299,-4.4224487216,-0.5359999294,4.45481185,-5.810095137,-0.7012925152,5.8522659451
20120608 2:00,0.584019266,-4.1271956524,-0.5666102386,4.1659081982,-5.3066462043,-0.7254286385,5.3560004338
20120608 3:00,0.305174149,-3.4631151246,-0.3757132193,3.4834360608,-4.3694654443,-0.4688961277,4.3945525196
20120608 4:00,0.1718036735,-2.9891813955,0.0088635746,2.9891945367,-3.7168676224,0.0214119777,3.7169292965
20120608 5:00,0.0952338162,-2.7283267422,0.3695086722,2.7532350918,-3.3774253227,0.482756735,3.4117526105
20120608 6:00,0.0576453039,-2.7058722207,0.7051089714,2.7962337414,-3.3922830664,0.9323782325,3.5180837925
20120608 7:00,0.0747097516,-2.598854927,0.644444904,2.677565343,-3.822014732,1.0275435188,3.9577319635
20120608 8:00,0.166987168,-2.211872749,0.4073541454,2.2490705764,-4.8974867993,1.1171919768,5.0232952195
20120608 9:00,0.3598450811,-2.4431065443,0.5442657102,2.5029971534,-5.4797960642,1.4357888048,5.6647731109
20120608 10:00,0.4512418677,-2.5300580954,0.6628110895,2.6154373452,-5.7272346429,1.7302495094,5.9828906074
20120608 11:00,0.3563764782,-2.7335820557,0.7791302645,2.8424487373,-6.0438188753,1.9709211392,6.3570651038
20120608 12:00,0.4142554186,-3.1726396132,0.8453598426,3.283332968,-6.6495576592,2.052294355,6.9590609412
20120608 13:00,0.6736098631,-3.6809717582,0.8882142755,3.7866182385,-7.3164417732,2.0198829894,7.5901414685
20120608 14:00,0.8361938823,-4.0497992168,0.8208715953,4.1321548703,-7.7050289176,1.806105897,7.9138795248
20120608 15:00,0.6967488588,-4.2127139362,0.6043732265,4.2558460622,-7.9210376538,1.4026878357,8.0442756465
20120608 16:00,0.6753621365,-4.3622514939,0.3294369947,4.3746733397,-8.0941875137,0.8744515365,8.1412859547
20120608 17:00,0.5968602854,-4.449203045,0.0567269672,4.4495646623,-8.0770439632,0.3606969113,8.0850937809
20120608 18:00,0.5458376766,-4.2499788866,-0.1853727512,4.2540196983,-7.8438916766,-0.0696156875,7.8442005952
20120608 19:00,0.4819291183,-4.0058456854,-0.3534511763,4.0214086325,-7.4055882357,-0.4006253789,7.4164167771
20120608 20:00,0.4280669279,-3.6556507021,-0.4408296953,3.6821342827,-6.8455655865,-0.6109544536,6.8727748066
20120608 21:00,0.2915513461,-3.2896897782,-0.4914758433,3.3262001355,-6.4135481142,-0.7992162156,6.4631529436
20120608 22:00,0.201897847,-3.0484231116,-0.4463952061,3.0809336487,-6.0038172575,-0.8343859953,6.0615197476
20120608 23:00,0.207514108,-3.4492602072,-0.372930464,3.4693620606,-5.5609422032,-0.6178504888,5.5951601777
20120609 0:00,0.1246091082,-4.1033078636,-0.4091062839,4.1236517039,-5.3523623389,-0.521995599,5.3777562247
20120609 1:00,0.0809999641,-3.5321538174,-0.0578158854,3.532626964,-4.4852812312,-0.0283882158,4.4853710675
20120609 2:00,0.0503486575,-3.1979022183,0.039117689,3.1981414589,-3.9790820639,0.0836041826,3.9799602674
20120609 3:00,0.0027856655,-2.5176708937,0.1153233292,2.5203107346,-3.0725906472,0.1664478746,3.0770957379
20120609 4:00,0,-1.9786657564,0.2171340646,1.9905439904,-2.3677412157,0.2876451277,2.3851495098
20120609 5:00,0,-1.7822196411,0.3634488939,1.8189013023,-2.1092565345,0.4763446483,2.1623753958
20120609 6:00,0,-1.9752450529,0.439044889,2.0234508725,-2.3731263132,0.5722285511,2.4411419486
20120609 7:00,0,-2.3349075924,0.3518656366,2.3612714565,-3.3711643878,0.5392444885,3.4140202032
20120609 8:00,0.0897972754,-2.4951919849,0.2305462573,2.5058201489,-5.2631286514,0.5538188417,5.2921865528
20120609 9:00,0.202958197,-2.816249442,0.2201822902,2.8248435639,-5.961396297,0.5139311382,5.9835082539
20120609 10:00,0.3540401136,-2.9833752416,0.2110376134,2.9908301033,-6.3239928637,0.5852687619,6.3510176557
20120609 11:00,0.5810628662,-3.2628955848,0.1598274231,3.2668076776,-6.7799311207,0.5346420612,6.800978469
20120609 12:00,0.6644081809,-3.576134291,0.0074161426,3.5761419808,-6.9881548917,0.2347172134,6.9920956058
20120609 13:00,0.5982261601,-3.5497460069,-0.1529205244,3.5530383336,-7.0749147962,-0.0958904833,7.0755645965
20120609 14:00,0.5493691816,-3.2653389444,-0.2943581928,3.2785797485,-6.7907013158,-0.4027189721,6.802632353
20120609 15:00,0.7432874447,-2.9144724997,-0.3815374452,2.9393401936,-6.3126243244,-0.6305391251,6.3440369994
20120609 16:00,0.5213597642,-2.6075865285,-0.3315465452,2.6285795813,-5.9925101938,-0.6481817632,6.0274636474
20120609 17:00,0.3357445814,-2.6432595793,-0.2870424513,2.6587994607,-5.9709698037,-0.6428122646,6.0054715056
20120609 18:00,0.1774828367,-2.5724021497,-0.2742399037,2.5869789996,-5.837539054,-0.7371620249,5.8838992222
20120609 19:00,0.1098630531,-2.5469912094,-0.2522926793,2.5594561564,-5.6987232067,-0.8330459277,5.7592891665
20120609 20:00,0.0751141224,-2.6887060687,-0.215713972,2.6973455176,-5.7220586293,-0.8537568507,5.785400221
20120609 21:00,0.058696668,-2.7082529458,-0.1260961391,2.711186872,-5.8207854172,-0.7693790163,5.8714126872
20120609 22:00,0.148278279,-2.8191814736,-0.1590169757,2.8236626179,-5.9925101938,-0.8330459277,6.0501358613
20120609 23:00,0.4117303476,-3.5854190577,-0.4187257976,3.6097868514,-5.813006943,-0.9634480354,5.8923070046
20120610 0:00,0.7080981992,-4.5099863466,-1.1368877513,4.6510741346,-5.9667813945,-1.5725025857,6.1705141271
20120610 1:00,0.690782143,-4.620700424,-1.2737286112,4.7930425601,-6.0604489382,-1.7142612565,6.2982325289
20120610 2:00,0.7274001653,-4.2785701133,-1.3153354371,4.4761891745,-5.5061743394,-1.7150795717,5.7671009869
20120610 3:00,0.552127889,-3.6357417863,-1.2782793578,3.853909243,-4.6019149225,-1.6422495217,4.8861645946
20120610 4:00,0.1886254987,-3.035601278,-1.3016831973,3.3029160245,-3.7926740083,-1.6545242492,4.1378529003
20120610 5:00,0.0157435031,-2.5823570865,-1.1970160261,2.8462985593,-3.1885146956,-1.5383234952,3.5402069347
20120610 6:00,0,-2.5114199762,-0.9005673921,2.6680052332,-3.1156671769,-1.183174712,3.3327592707
20120610 7:00,0,-2.3130471722,-0.5313068128,2.3732834112,-3.3880535512,-0.8754882086,3.4993408621
20120610 8:00,0.0029024837,-2.1397848497,-0.056078849,2.1405195725,-4.6343795776,-0.6308119732,4.6771142615
20120610 9:00,0.115407426,-2.5898902309,0.0180333095,2.5899530128,-5.5869400667,-0.4966082855,5.6089677391
20120610 10:00,0.2654829086,-2.7650358396,-0.1009362081,2.7668775383,-6.1404228446,-0.581713063,6.1679155959
20120610 11:00,0.2810197333,-2.7807298905,-0.3616289762,2.8041459021,-6.2924524489,-1.0211483086,6.3747707166
20120610 12:00,0.2529923439,-2.8064681341,-0.5976176915,2.8693919726,-6.3003706574,-1.5334136042,6.4842908404
20120610 13:00,0.3064321915,-3.0330902298,-0.8700123793,3.1554013821,-6.3819282055,-2.0505887908,6.7032769605
20120610 14:00,0.5328528809,-3.2189077931,-1.0435908559,3.3838512459,-6.6321435958,-2.473657733,7.0784398886
20120610 15:00,0.832006398,-3.2270686996,-1.2925817042,3.4763112423,-6.499909513,-2.9916512348,7.15533373
20120610 16:00,0.8887441142,-3.0632228076,-1.5311708461,3.4245902133,-6.0541143714,-3.545650604,7.0159774107
20120610 17:00,0.8040778549,-2.9119321565,-1.7476563617,3.3961230311,-5.7706425051,-4.1225627979,7.0919559323
20120610 18:00,0.5677545739,-2.7945406553,-1.8705265192,3.3627855914,-5.5473490239,-4.4940778845,7.1393148989
20120610 19:00,0.352710183,-2.706026208,-1.9829949703,3.3548244202,-5.3129700507,-4.6536493424,7.0628678992
20120610 20:00,0.2674688185,-2.5001202595,-1.9459388911,3.1681665802,-5.037416393,-4.7845797694,6.9475008087
20120610 21:00,0.2801480896,-2.4963536873,-1.8874292922,3.1295640376,-4.9550670241,-4.7600303143,6.8709954014
20120610 22:00,0.2876514144,-2.5892624689,-1.9069324919,3.2156914748,-5.0445427807,-4.7567570537,6.9335524469
20120610 23:00,0.2541245822,-3.1366709661,-2.3971129087,3.9477658297,-4.9123086979,-4.6659240699,6.775073739
20120611 0:00,0.2491193703,-3.3212330053,-3.0036624165,4.478010338,-4.4578035269,-4.3165034929,6.205176443
20120611 1:00,0.2928363466,-2.6811044534,-2.9518747561,3.9877168487,-3.4119371742,-3.9353557929,5.2084873521
20120611 2:00,0.3331745804,-2.4348929665,-2.9564112167,3.8300223289,-3.026305681,-3.8343342829,4.884735967
20120611 3:00,0.1059631214,-2.0877751323,-2.9149350055,3.5854778049,-2.5645409316,-3.7414596688,4.5360104324
20120611 4:00,0.0455051939,-1.0719845713,-3.1197237982,3.2987615097,-1.2189683822,-3.9834224791,4.1657578618
20120611 5:00,0.0085007728,-1.1062927293,-3.104170219,3.295414443,-1.2288988069,-3.9972722022,4.1819107279
20120611 6:00,0.0221145897,-1.7884196359,-3.0289945862,3.5175635029,-2.1540833765,-4.0705942659,4.6054112597
20120611 7:00,0.0268771791,-2.0554851013,-2.3744481286,3.1405450032,-3.1123693618,-4.3345536953,5.3362157735
20120611 8:00,0.0997627691,-1.959287717,-2.2636288769,2.9937975967,-3.4980008551,-5.3015902466,6.3516036656
20120611 9:00,0.3146993278,-1.8146552861,-2.6485799619,3.2105995736,-3.2216040338,-6.0331815045,6.8394452711
20120611 10:00,0.695850257,-1.7642021126,-3.0439000996,3.5182008059,-2.9501724248,-6.5521387777,7.1856829806
20120611 11:00,0.9723230653,-1.7796744191,-3.3575639466,3.8000627223,-2.8641087439,-7.0939073595,7.6502706176
20120611 12:00,0.9548362748,-2.0729755348,-3.8008409535,4.3293902021,-3.1636765562,-7.5884239447,8.2214978755
20120611 13:00,0.8458448654,-2.3682947774,-3.9531364164,4.6082651486,-3.708194845,-7.9216319898,8.7465971892
20120611 14:00,0.9511070774,-2.0837388785,-4.2493024869,4.7327095134,-3.2538779141,-8.4014841623,9.0095869833
20120611 15:00,0.921048848,-1.3477952534,-4.2544870133,4.4628703534,-1.8661010597,-8.4177779542,8.6221411988
20120611 16:00,0.9030857985,-1.1130198191,-4.2350450393,4.378860537,-1.2404843024,-8.0967902531,8.1912644755
20120611 17:00,0.8580568635,-1.3767217396,-4.0023894172,4.2325505071,-1.5474999333,-7.8523833741,8.0034168139
20120611 18:00,0.6037795191,-0.4752917052,-3.8001928877,3.8298000195,-0.1357245525,-7.4043040959,7.4055479405
20120611 19:00,0.4205007009,-0.4712554514,-3.7178885312,3.7476361657,0.1605331183,-7.2063345239,7.2081223735
20120611 20:00,0.7206786241,0.1328372134,-4.064603734,4.0667738122,1.1990900367,-7.3497198929,7.4468919302
20120611 21:00,0.6711117501,0.2095260373,-4.2324527761,4.2376358576,1.2388117356,-7.480884918,7.5827629313
20120611 22:00,0.6886254987,0.2397979414,-4.6225883874,4.628803998,1.0269626749,-8.0014715703,8.0671060255
20120611 23:00,0.8218252399,0.0870930027,-4.9945781564,4.9953374412,0.7182919733,-8.3167564443,8.3477171198
20120612 0:00,0.7714675964,-0.2082262398,-5.1695559223,5.1737478292,0.2573547593,-8.2051439695,8.2091789499
20120612 1:00,0.7275798857,0.3885849966,-5.5420442153,5.5556504915,0.8992427473,-7.9264503281,7.9772960533
20120612 2:00,0.7141098451,0.6387361088,-5.6767459505,5.7125675841,1.1227899823,-7.8432772663,7.9232351738
20120612 3:00,0.5691294346,1.3143223666,-5.9511615786,6.0945686818,1.9310552295,-8.0041821616,8.2338269581
20120612 4:00,0.761133676,1.5413003354,-5.9104377981,6.1080996791,2.1851854739,-7.9404420581,8.2356332868
20120612 5:00,0.6366863161,1.6310219932,-5.6372752095,5.8684840061,2.3002358425,-7.6334013158,7.9724463359
20120612 6:00,0.6471280687,1.3541326386,-5.1680119552,5.3424734694,1.9754734098,-7.199657685,7.4657595711
20120612 7:00,0.6207810647,0.6411128414,-4.0196013474,4.070407924,1.3128415405,-6.867742756,6.9920986458
20120612 8:00,0.4434779483,0.2014172998,-3.4757822489,3.4816133,0.8781259075,-7.0131012846,7.06786352
20120612 9:00,0.4041910787,-0.0635883915,-3.517132549,3.5177073288,0.5650141451,-7.2766122001,7.298515335
20120612 10:00,0.4640020129,-0.2162934647,-3.8466819106,3.852758049,0.354573914,-7.6512796375,7.6594910244
20120612 11:00,0.4289655296,-0.1996563361,-4.1185914598,4.123427975,0.4193807672,-8.2669157588,8.27754652
20120612 12:00,0.827953704,0.0932759639,-4.5057806336,4.5067460017,0.901427248,-8.7535170364,8.799808611
20120612 13:00,0.9417166888,0.4557276942,-4.7682923874,4.7900208792,1.4876015939,-9.0442340937,9.165758498
20120612 14:00,0.9317691672,0.6850823956,-4.8760537756,4.9239454009,1.8866370493,-9.1382896122,9.3310093984
20120612 15:00,0.9257305632,0.8003539295,-4.8534990664,4.9190466149,2.0832421094,-9.019359907,9.256821853
20120612 16:00,0.9030678265,0.8205561571,-4.6436149673,4.7155564223,2.2150403164,-8.8087066382,9.0829354419
20120612 17:00,0.8899751986,0.7439065289,-4.5446248549,4.6051071644,2.1502334632,-8.715428438,8.9767587026
20120612 18:00,0.9192157004,0.79857138,-4.4475143016,4.5186391438,2.2652838318,-8.5980533695,8.8914584058
20120612 19:00,0.9458053269,0.7997597463,-4.3616811029,4.4343971062,2.3242653498,-8.4495855675,8.7634300179
20120612 20:00,0.9492020416,0.6714161828,-4.3472711498,4.3988141744,2.105815283,-8.4270433358,8.6861681649
20120612 21:00,0.9496333705,0.5721875944,-4.2514136359,4.2897455107,1.9113947235,-8.4348165191,8.6486738579
20120612 22:00,0.9500287553,0.4450323972,-4.3453915907,4.3681210962,1.6601771467,-8.5793977294,8.7385498544
20120612 23:00,0.8980446425,0.4218592538,-4.904247162,4.9223577131,1.3507062187,-8.4464762941,8.5537926721
20120613 0:00,0.8636461666,0.3422387098,-5.2738937842,5.284986564,1.0973041412,-8.522653491,8.5930029038
20120613 1:00,0.8330577621,0.0415326588,-5.938060006,5.9382052504,0.3690087117,-8.4259002973,8.4339767162
20120613 2:00,0.7333938392,0.2163519999,-6.022820734,6.0267053836,0.5203045555,-8.2276248103,8.2440600949
20120613 3:00,0.3412530103,0.1475137891,-6.1155277802,6.1173066253,0.4057607385,-8.2421650127,8.2521467433
20120613 4:00,0.2232126811,-0.3487156152,-6.2188299174,6.2285992102,-0.2649637509,-8.3948371377,8.3990175829
20120613 5:00,0.3852305812,-0.8929831954,-6.3353759184,6.3980002356,-0.9902037467,-8.686963022,8.7432162277
20120613 6:00,0.5411739334,-1.6090986831,-6.1515510896,6.3585202193,-2.0063972882,-8.8621063689,9.0863941898
20120613 7:00,0.6933791021,-2.3519570729,-5.7637707591,6.225171117,-3.2559662,-9.1833126579,9.743436112
20120613 8:00,0.8488911254,-2.8922627416,-5.9301136877,6.5978354114,-4.2439831876,-9.9876502171,10.8519376222
20120613 9:00,0.8964900615,-3.4707018078,-6.4418565829,7.3173278779,-5.0500776425,-10.7873613483,11.9109382105
20120613 10:00,0.9682793573,-3.8505500644,-6.9064513231,7.9073260763,-5.7238648008,-11.4251474984,12.7787567321
20120613 11:00,0.9936019554,-3.6866259797,-7.4568663004,8.3184172855,-5.4243357823,-12.1772725126,13.3307683396
20120613 12:00,0.9652241113,-2.6867385872,-8.3065925983,8.7302946588,-3.8562493047,-13.2955462597,13.8434897711
20120613 13:00,0.9892796808,-1.6204891784,-8.7574137202,8.9060810823,-1.9849586059,-13.9518381219,14.0923329384
20120613 14:00,0.9845889795,-1.9255563572,-7.8870269948,8.1186798251,-2.6887599195,-12.6947715339,12.9763883343
20120613 15:00,0.9729251285,-0.6151541577,-7.8854377312,7.9093958587,-0.5828687828,-12.6630474559,12.6764548234
20120613 16:00,0.9905646814,1.1622583494,-7.0961034519,7.1906556496,2.1527070799,-11.7483365423,11.9439339952
